Company Name,Report Year,Annual Carbon Emissions,Annual Water Consumption,Renewable Energy Usage,Sustainable Materials Usage Ratio,Waste Recycling Rate
ExxonMobil,2017,6600000.0 tonnes CO₂,300000000.0 cubic meters,N/A,N/A,N/A
ExxonMobil,2018,N/A,N/A,500.0 MWh,N/A,90.0 percent
ExxonMobil,N/A,N/A,N/A,N/A,N/A,N/A
ExxonMobil,N/A,N/A,N/A,N/A,N/A,N/A
Our Environmental Responsibility,2017,92528.0 tonnes CO,N/A,N/A,N/A,43.3 percent
Ferrari N.V.,2018,91773.0 tonnes CO,N/A,N/A,N/A,44.8 percent
Ferrari Group,2019,94615.0 tonnes CO,N/A,N/A,N/A,N/A
Ferrari N.V.,2020,88380.0 tonnes CO,701.4 cubic meters,N/A,N/A,N/A
Ferrari Group,2021,95514.0 tonnes CO,N/A,142.0 MWh,N/A,N/A
Ferrari Group,2022,83739.0 tonnes CO,N/A,29.0 MWh,N/A,N/A
First Quantum,2021,411191.0 tonnes CO₂,N/A,N/A,N/A,N/A
ACTIONS TARGETS,2022,N/A,N/A,20.0 MWh,N/A,N/A
Enbridge,2016,2206000.0 tonnes CO₂,225.3 cubic meters,N/A,N/A,59.0 percent
Teledyne,2022,138329.0 tonnes CO₂,950.04 cubic meters,20.0 MWh,N/A,N/A
FMC,2011,14.0 tonnes CO₂,30283280.0 cubic meters,N/A,85.0 percent,N/A
FMC,2012,2.0 tonnes CO₂,30283280.0 cubic meters,N/A,N/A,N/A
FMC,2013,N/A,N/A,N/A,N/A,30.0 percent
FMC,2014,1150000.0 tonnes CO₂,6400000.0 cubic meters,N/A,N/A,N/A
FMC,2015,400.0 tonnes CO₂,45000000.0 cubic meters,N/A,67.0 percent,N/A
FMC,2016,600.0 tonnes CO₂,4000000.0 cubic meters,N/A,N/A,38.0 percent
FMC Corporation,2017,700.0 tonnes CO₂,4000000000.0 cubic meters,N/A,82.0 percent,N/A
FMC Corporation,2018,N/A,N/A,N/A,N/A,N/A
FMC Corporation,2019,350.0 tonnes CO₂,340000.0 cubic meters,N/A,N/A,N/A
FMC,2020,151.95 tonnes CO₂,1517000.0 cubic meters,4.65 MWh,N/A,N/A
FMC,2021,2727.76 tonnes CO₂,1450000.0 cubic meters,32.64 MWh,N/A,35.04 percent
FMC Corporation,2022,3.0 tonnes CO₂,2500.0 cubic meters,N/A,N/A,58.0 percent
Facebook,2019,364000.0 tonnes CO₂,3.43 cubic meters,86.0 MWh,N/A,90.0 percent
Facebook,2020,2020.0 tonnes CO₂,1609000.0 cubic meters,7100000000.0 MWh,N/A,90.0 percent
Meta,2021,5709000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Meta,2023,8533471.0 tonnes CO₂,4893023.0 cubic meters,100.0 MWh,N/A,N/A
Fastenal,2022,N/A,N/A,N/A,N/A,N/A
FedEx,2008,39.5 tonnes CO₂,N/A,25000.0 MWh,75.0 percent,N/A
FedEx,2009,14101552.0 tonnes CO₂,N/A,5.0 MWh,N/A,N/A
International Air Transport Association (IATA),2010,3.9 tonnes CO₂,N/A,N/A,N/A,N/A
FedEx,2011,N/A,N/A,N/A,N/A,36.0 percent
FedEx,2012,16645894.0 tonnes CO₂,N/A,20.0 GWh,N/A,N/A
FedEx,2014,122517.0 tonnes CO₂,0.01 cubic meters,N/A,N/A,N/A
FedEx,2018,2300000.0 tonnes CO₂,N/A,N/A,N/A,N/A
FedEx,2019,92.0 tonnes CO₂,N/A,N/A,N/A,N/A
FedEx,2020,19501454.0 tonnes CO₂,N/A,N/A,N/A,N/A
FedEx,2020,19501454.0 tonnes CO₂,N/A,N/A,N/A,N/A
FedEx,2021,19414171.0 tonnes CO₂,N/A,N/A,N/A,N/A
FedEx,2022,21448385.0 tonnes CO₂,N/A,N/A,N/A,N/A
Pike & Rose,2019,1300000.0 tonnes CO₂,0.02 cubic meters,13000000.0 MWh,N/A,49.0 percent
Federal Realty Investment Trust,2020,18026.0 tonnes CO₂,557649.12 cubic meters,36.0 MWh,N/A,N/A
Federal Realty,2021,20162.0 tonnes CO₂,253761.0 cubic meters,8.0 MWh,N/A,32.0 percent
Federal Realty,2022,203787.0 tonnes CO₂,243172.0 cubic meters,N/A,N/A,30.0 percent
Larsen & Toubro,2017,434802.0 tonnes CO₂,9335260.0 cubic meters,567.0 MWh,N/A,8.71 percent
FIS,2019,110198.74 tonnes CO₂,407.5 cubic meters,N/A,N/A,N/A
FIS,2021,N/A,N/A,3.0 MWh,N/A,N/A
FIS,2022,113733.52 tonnes CO,255100.0 cubic meters,11273.98 MWh,N/A,N/A
FIS,2023,113735.0 tonnes CO,N/A,N/A,N/A,N/A
Apple,2023,15600000.0 tonnes CO₂,6094510.1 cubic meters,25500000.0 MWh,22.0 percent,74.0 percent
Fifth Third Bancorp,2015,100338.0 tonnes CO₂,N/A,N/A,N/A,N/A
Fifth Third Bancorp,2017,N/A,10.0 cubic meters,100.0 MWh,N/A,N/A
Fifth Third Bancorp,2018,N/A,N/A,30.0 MWh,N/A,70000.0 percent
Fifth Third,N/A,92650.0 tonnes CO₂,609.86 cubic meters,149408.0 MWh,N/A,55.0 percent
Fifth Third Bancorp,2020,0.0 tonnes CO₂,516.8 cubic meters,100.0 MWh,N/A,N/A
Fifth Third,2021,0.0 tonnes CO₂,N/A,100.0 MWh,30.0 percent,N/A
Fifth Third,2022,386330.0 tonnes CO₂,0.38 cubic meters,190000.0 MWh,N/A,N/A
Sempra Energy,2013,7800000.0 tonnes CO₂,120754579.0 cubic meters,23.6 MWh,N/A,N/A
Thermo Fisher,2017,N/A,N/A,2645.0 MWh,N/A,24.0 percent
FirstEnergy,2021,18100000.0 tonnes CO₂,340686900.0 cubic meters,N/A,N/A,N/A
FirstEnergy Corp.,2023,18100000.0 tonnes CO₂,N/A,N/A,N/A,1692.0 tonnes CO₂
FirstEnergy,2022,N/A,N/A,N/A,N/A,N/A
Fiserv,2021,N/A,N/A,N/A,N/A,N/A
Fiserv,2022,N/A,N/A,N/A,N/A,N/A
Taylor Morrison Home,2022,N/A,N/A,N/A,N/A,N/A
Amazon,2023,46700.0 tonnes CO₂,N/A,100.0 MWh,N/A,N/A
Chemours,2021,7885000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Intel,N/A,1190000.0 tonnes CO₂,10000000.0 cubic meters,93.0 MWh,N/A,85.0 percent
Flowserve Corporation,N/A,133968.0 tonnes CO₂,628000.0 cubic meters,100.0 MWh,N/A,200.0 tonnes CO₂
Fluor,2008,2006.0 tonnes CO₂,2184.18 cubic meters,7500000.0 MWh,N/A,416.0 tonnes CO₂
Fluor,2009,N/A,37.0 cubic meters,N/A,N/A,N/A
Fluor,2010,95.0 tonnes CO₂,N/A,N/A,N/A,N/A
Fluor,2011,N/A,0.03 cubic meters,N/A,N/A,N/A
Fluor,2012,N/A,N/A,N/A,N/A,N/A
Fluor,2013,N/A,225000.0 cubic meters,N/A,N/A,204.0 tonnes CO₂
Fluor,2014,140000.0 tonnes CO,N/A,N/A,N/A,N/A
Fluor,2015,N/A,N/A,N/A,N/A,N/A
Fluor,2016,100000.0 tonnes CO₂,2693.32 cubic meters,12000000.0 MWh,N/A,N/A
Fluor,2017,87300.0 tonnes CO₂,N/A,N/A,N/A,1839.3 tonnes CO₂
Fluor,2018,14370.0 tonnes CO₂,2.19 cubic meters,N/A,N/A,1693.3 tonnes CO₂
Fluor,2019,92950.0 tonnes CO₂,1150.01 cubic meters,N/A,N/A,2000.7 tonnes CO₂
Fluor,N/A,46570.0 tonnes CO₂,142.36 cubic meters,N/A,N/A,29.4 percent
Fluor,2021,50000.0 tonnes CO₂,N/A,N/A,N/A,N/A
FLUOR CORPORATION,2022,N/A,N/A,10.0 MWh,N/A,N/A
Hyundai,2019,N/A,N/A,N/A,N/A,N/A
Flutter Entertainment plc,2023,N/A,N/A,100.0 MWh,N/A,N/A
"Foot Locker, Inc.",2021,5775.0 tonnes CO,N/A,45200.0 MWh,N/A,N/A
Ford Motor Company,N/A,228000000.0 tonnes CO₂,3.7 cubic meters,N/A,25.0 percent,61.0 percent
Automakers,N/A,4380000.0 tonnes CO₂,N/A,500000.0 MWh,N/A,N/A
Ford,2020,3740000.0 tonnes CO₂,41639510.0 cubic meters,N/A,N/A,102.0 percent
Ford,2021,2.96 tonnes CO₂,15600000.0 cubic meters,N/A,N/A,103.0 percent
Ford,2022,N/A,N/A,N/A,N/A,N/A
Ford,2023,303.0 tonnes CO₂,15100000.0 cubic meters,42.6 MWh,N/A,91.0 percent
Interior,2014,18.2 tonnes CO₂,N/A,N/A,N/A,N/A
Teck,2017,3010.0 kilotonnes,N/A,30.0 MWh,N/A,N/A
Chemours,2022,6545000.0 tonnes CO₂,39000.0 cubic meters,100000.0 MWh,N/A,0.0 percent
TD Bank Group,2023,117317.0 tonnes CO,N/A,405276.0 MWh,N/A,N/A
Fortinet,2021,N/A,2021.0 cubic meters,100.0 MWh,N/A,2021.0 percent
Fortinet,2022,N/A,N/A,N/A,N/A,N/A
Fortinet,2023,2030699.0 tonnes CO₂,N/A,100.0 MWh,N/A,N/A
Fortive,2022,N/A,N/A,N/A,N/A,N/A
N/A,2023,51120.0 tonnes CO₂,N/A,N/A,N/A,N/A
Fortive,2020,28.6 tonnes CO₂,N/A,N/A,N/A,N/A
Hitachi,2013,2142.0 kilotonnes,56520000.0 cubic meters,N/A,N/A,83.0 percent
PVH,2014,0.65 tonnes CO₂,N/A,N/A,100.0 percent,370.0 tonnes CO₂
Fortune Brands Innovations,2023,120634.0 tonnes CO₂,0.67 cubic meters,1400000.0 MWh,N/A,49.4 percent
Chevron,2016,66000000.0 tonnes CO₂,77000000.0 cubic meters,N/A,N/A,N/A
Frasers Group_2024,2024,451.3 tonnes CO₂,N/A,N/A,N/A,N/A
IPCC (Intergovernmental Panel on Climate Change),2014,49.0 tonnes CO₂,N/A,30.0 MWh,N/A,N/A
Freeport-McMoRan,2016,5500000.0 tonnes CO₂,1738000000.0 cubic meters,63.0 MWh,N/A,81.0 percent
Freeport-McMoRan,2017,N/A,1560000000.0 cubic meters,N/A,N/A,82.0 percent
Freeport Minerals Corporation (FMC),2018,4900000.0 tonnes CO₂,1540000000.0 cubic meters,30.0 MWh,N/A,81.0 percent
Freeport Americas Copper,2020,4600000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Cerro Verde,2021,N/A,56650000.0 cubic meters,N/A,N/A,N/A
FCX,2022,2500000.0 tonnes CO₂,N/A,N/A,N/A,N/A
FCX,2023,7800000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Fresnillo plc,2022,18658.0 tonnes CO₂,N/A,56.0 MWh,N/A,N/A
Hochschild Mining,2020,98974.0 tonnes CO₂,231.67 cubic meters,N/A,N/A,N/A
PEÑOLES Industries,2023,1216142.0 tonnes CO,24227.28 cubic meters,N/A,N/A,604.13 tonnes CO₂
GSK,2013,1833000.0 tonnes CO₂,15700000.0 cubic meters,N/A,N/A,94.0 percent
GSK,2017,19500000.0 tonnes CO₂,N/A,N/A,N/A,70.0 percent
GSK,2019,16335000.0 tonnes CO₂,12370000.0 cubic meters,N/A,N/A,N/A
GSK,2020,14620000.0 tonnes CO₂,12470000.0 cubic meters,N/A,N/A,N/A
GSK,2021,13456.0 tonnes CO₂,10.17 cubic meters,N/A,N/A,N/A
Gap Inc.,2004,N/A,N/A,N/A,N/A,1800.0 tonnes CO₂
Gap Inc.,2004,N/A,N/A,N/A,N/A,77.0 percent
Gap Inc.,N/A,N/A,N/A,N/A,N/A,N/A
Gap Inc.,N/A,N/A,N/A,1.0 MWh,100.0 percent,N/A
Gap Inc.,N/A,N/A,N/A,N/A,N/A,N/A
Gap Inc.,N/A,N/A,N/A,N/A,N/A,N/A
Gap Inc.,N/A,499859.0 tonnes CO₂,N/A,N/A,N/A,80.0 percent
Gap Inc.,N/A,447687.0 tonnes CO₂,N/A,N/A,N/A,N/A
Gap Inc.,2017,N/A,N/A,3.0 MWh,35.0 percent,47.0 percent
Gap Inc.,2018,N/A,N/A,N/A,N/A,N/A
Gap Inc.,N/A,363586.0 tonnes CO₂,11200000000.0 cubic meters,100.5 MWh,57.0 percent,65.0 percent
Gap Inc.,2020,240724.0 tonnes CO₂,N/A,17.0 MWh,N/A,N/A
Gap Inc.,2021,N/A,25898640.0 cubic meters,17.0 MWh,79.0 percent,N/A
Gap Inc.,N/A,138899.0 tonnes CO₂,17400000000.0 cubic meters,37.0 MWh,81.0 percent,N/A
Garmin,N/A,N/A,N/A,N/A,90.0 percent,N/A
"Gartner, Inc.",2021,12047.0 tonnes CO,N/A,N/A,N/A,N/A
General Dynamics,2021,N/A,0.04 cubic meters,7.5 MWh,N/A,29.0 percent
Electric Boat / GD Ordnance and Tactical Systems,2022,N/A,0.04 cubic meters,N/A,156700000.0 percent,65.2 percent
Bath Iron Works,2023,678187.0 tonnes CO₂,N/A,N/A,N/A,N/A
GE,N/A,2070000.0 tonnes CO₂,19381299.2 cubic meters,53000.0 MWh,N/A,N/A
GE,2021,1810000.0 tonnes CO₂,18662071.3 cubic meters,63100.0 MWh,N/A,N/A
GM,2016,77.0 tonnes CO₂,0.07 cubic meters,N/A,N/A,N/A
General Motors,2017,1848804.0 tonnes CO₂,37493216.0 cubic meters,N/A,N/A,44.0 percent
General Motors,2018,1763555.0 tonnes CO₂,10738.0 cubic meters,703475.0 MWh,N/A,N/A
General Motors,2019,1589700.0 tonnes CO₂,31254916.0 cubic meters,1636792.0 MWh,N/A,94.0 percent
General Motors Company,2020,1214124.0 tonnes CO₂,25554164.0 cubic meters,1398047.0 MWh,N/A,N/A
GSK,2013,1833000.0 tonnes CO₂,15700000.0 cubic meters,N/A,N/A,94.0 percent
GSK,2017,19500000.0 tonnes CO₂,N/A,N/A,N/A,71.0 percent
GSK,2019,16335000.0 tonnes CO₂,12370000.0 cubic meters,N/A,N/A,N/A
GSK,2020,14620000.0 tonnes CO₂,12470000.0 cubic meters,N/A,N/A,N/A
GSK,2021,13456.0 tonnes CO₂,10.17 cubic meters,N/A,N/A,N/A
Gap Inc.,N/A,N/A,N/A,N/A,N/A,N/A
Gap Inc.,2004,N/A,N/A,N/A,N/A,77.0 percent
Gap Inc.,N/A,N/A,N/A,N/A,N/A,N/A
Gap Inc.,N/A,N/A,N/A,1.0 MWh,100.0 percent,N/A
Gap Inc.,N/A,N/A,N/A,N/A,N/A,N/A
Gap Inc.,N/A,N/A,N/A,N/A,N/A,N/A
Gap Inc.,N/A,499859.0 tonnes CO₂,N/A,N/A,N/A,80.0 percent
Gap Inc.,N/A,447687.0 tonnes CO₂,N/A,N/A,N/A,N/A
Gap Inc.,2017,N/A,N/A,3.0 MWh,35.0 percent,47.0 percent
Gap Inc.,2018,N/A,N/A,N/A,N/A,N/A
Gap Inc.,N/A,363586.0 tonnes CO₂,11200000000.0 cubic meters,100.5 MWh,57.0 percent,65.0 percent
Gap Inc.,2020,240724.0 tonnes CO₂,N/A,17.0 MWh,N/A,N/A
Gap Inc.,2021,N/A,25898640.0 cubic meters,17.0 MWh,10.0 percent,N/A
Gap Inc.,N/A,4786266.0 tonnes CO₂,17400000000.0 cubic meters,37.0 MWh,81.0 percent,N/A
Garmin,2016,N/A,N/A,N/A,90.0 percent,N/A
"Gartner, Inc.",2021,586.0 tonnes CO₂,N/A,N/A,N/A,N/A
General Dynamics,2021,N/A,0.04 cubic meters,7.5 MWh,N/A,29.0 percent
Electric Boat / GD Ordnance and Tactical Systems,2022,N/A,0.04 cubic meters,N/A,N/A,65.2 percent
Bath Iron Works,2023,678187.0 tonnes CO₂,N/A,N/A,N/A,N/A
GE,N/A,2070000.0 tonnes CO₂,19381299.2 cubic meters,53000.0 MWh,N/A,N/A
GE,2021,1810000.0 tonnes CO₂,18662071.3 cubic meters,63100.0 MWh,N/A,N/A
GM,2016,77.0 tonnes CO₂,0.07 cubic meters,N/A,N/A,N/A
General Motors,2017,1848804.0 tonnes CO₂,37493216.0 cubic meters,N/A,N/A,44.0 percent
General Motors,2018,1763555.0 tonnes CO₂,35792699.0 cubic meters,703475.0 MWh,N/A,N/A
General Motors,2019,1589700.0 tonnes CO₂,31254916.0 cubic meters,1636792.0 MWh,N/A,94.0 percent
General Motors Company,2020,1214124.0 tonnes CO₂,25554164.0 cubic meters,1398047.0 MWh,N/A,85.0 percent
GM,2021,N/A,25304.0 cubic meters,146832.0 MWh,35.0 percent,1.2 percent
General Motors (GM),2022,3500000.0 tonnes CO₂,27325.0 cubic meters,1977727.0 MWh,N/A,1330000.0 tonnes CO₂
GPC Asia Pacific,N/A,3412.0 tonnes CO₂,0.43 cubic meters,4780000.0 MWh,N/A,18.6 percent
Genuine Parts Company,2022,374826.0 tonnes CO₂,N/A,N/A,N/A,N/A
Gilead,2016,975.0 tonnes CO₂,303689.56 cubic meters,N/A,N/A,66.0 percent
Gilead Sciences,2017,1728.0 tonnes CO₂,167102.86 cubic meters,50.0 MWh,N/A,68.0 percent
Gilead,N/A,2018.0 tonnes CO₂,466.0 cubic meters,37430.0 MWh,N/A,N/A
Gilead,2019,2700.0 tonnes CO₂,444.0 cubic meters,1.91 MWh,N/A,N/A
Gilead,2020,42546.0 tonnes CO₂,613.3 cubic meters,89708.0 MWh,N/A,N/A
Gilead,2021,0.08 tonnes CO₂,N/A,461232.0 MWh,N/A,95.0 percent
Gilead,2022,N/A,2555.0 cubic meters,30700.0 MWh,N/A,N/A
Glencore,N/A,18300000.0 tonnes CO₂,1050000000.0 cubic meters,12.5 MWh,N/A,N/A
Glencore,2014,36567000.0 tonnes CO₂,958000000.0 cubic meters,78.0 MWh,N/A,N/A
Glencore,2016,35600000.0 tonnes CO₂,970000000.0 cubic meters,19.0 MWh,N/A,N/A
Glencore,2021,15000000.0 tonnes CO₂,999000000.0 cubic meters,237.0 GWh,N/A,N/A
Glencore,2022,16610000.0 tonnes CO₂,1078000000.0 cubic meters,N/A,N/A,N/A
Glencore,2018,18500000.0 tonnes CO₂,1075000000.0 cubic meters,N/A,N/A,N/A
Global Payments,2021,N/A,0.11 cubic meters,N/A,N/A,69.0 percent
Goldman Sachs,2019,7000.0 tonnes CO₂,N/A,1.0 MWh,N/A,N/A
EMPRESAS CMPC,2020,N/A,N/A,100.0 MWh,N/A,N/A
Grainger,2021,90255.0 tonnes CO₂,409797.0 cubic meters,6000000.0 MWh,N/A,89.0 percent
"W.W. Grainger, Inc. and Subsidiaries",2024,86000.0 tonnes CO₂,538000.0 cubic meters,10.0 MWh,40.0 percent,78.0 percent
Grainger,2022,86682.0 tonnes CO₂,386059.0 cubic meters,6700000.0 MWh,N/A,91.8 percent
Persimmon,2015,13700.0 tonnes CO₂,N/A,N/A,N/A,90.0 percent
HCA Healthcare,2021,N/A,0.7 cubic meters,N/A,N/A,11000000.0 percent
"HCA Healthcare, Inc.",2022,2053476.0 tonnes CO₂,N/A,N/A,N/A,N/A
HCA,2016,N/A,12.49 cubic meters,N/A,N/A,N/A
Alnylam,2022,N/A,N/A,N/A,N/A,2400.0 percent
GSK,2023,2.1 tonnes CO₂,N/A,N/A,N/A,N/A
Abbott,2023,N/A,2360.0 cubic meters,260000000.0 MWh,N/A,N/A
Intel,2015,2000000.0 tonnes CO₂,34068690.0 cubic meters,3400000000.0 MWh,N/A,82.0 percent
HP,2020,44890100.0 tonnes CO₂,2327000.0 cubic meters,243661.0 MWh,N/A,85.2 percent
HSBC,2016,2.97 tonnes CO₂,N/A,9.0 MWh,95.0 percent,N/A
Statkraft AS,2017,818000.0 tonnes CO₂,N/A,96.5 MWh,N/A,N/A
Reckitt,2023,N/A,N/A,N/A,N/A,94.0 percent
ConocoPhillips,2018,20300000.0 tonnes CO₂,18300000.0 cubic meters,N/A,N/A,120300.0 tonnes CO₂
Cheniere Energy,2020,N/A,N/A,N/A,N/A,N/A
Halma,N/A,N/A,N/A,N/A,N/A,N/A
Morgan Stanley,2015,425495.0 tonnes CO,N/A,N/A,N/A,58.0 percent
Walmart,2018,42.5 tonnes CO₂,N/A,2900000000.0 MWh,N/A,78.0 percent
Hanesbrands Inc_2019,2019,N/A,N/A,N/A,N/A,N/A
Hanesbrands Inc_None,2013,324929.0 tonnes CO₂,N/A,N/A,N/A,N/A
Videndum,2021,N/A,6000.0 cubic meters,33.0 MWh,N/A,N/A
Harley-Davidson,2022,N/A,N/A,N/A,N/A,N/A
ExxonMobil,2014,N/A,N/A,N/A,N/A,N/A
ExxonMobil,2015,122000000.0 tonnes CO₂,300000000.0 cubic meters,N/A,N/A,N/A
Cigna,2016,232.0 tonnes CO₂,N/A,N/A,N/A,1200.0 tonnes CO₂
Cigna,2018,N/A,N/A,N/A,N/A,100.0 percent
Pentair,N/A,26783.0 tonnes CO₂,N/A,N/A,N/A,N/A
Hasbro,2010,N/A,N/A,N/A,N/A,80.0 percent
Hasbro,2011,27007.0 tonnes CO₂,0.06 cubic meters,N/A,N/A,80.0 percent
Hasbro,2013,N/A,N/A,N/A,N/A,82.0 percent
Hasbro,2015,N/A,N/A,100.0 MWh,90.0 percent,50.0 percent
Hasbro,2016,N/A,N/A,25699.0 MWh,90.0 percent,50.0 percent
Hasbro,2019,12864.0 tonnes CO₂,N/A,99.7 MWh,N/A,N/A
GREENHOUSE GAS EMISSIONS,2020,12738.0 tonnes CO₂,N/A,26828.0 MWh,N/A,N/A
Hasbro,N/A,9352.0 tonnes CO₂,N/A,N/A,N/A,N/A
Hasbro,2022,9801.0 tonnes CO₂,N/A,N/A,N/A,0.0 percent
H&P,2022,1117000.0 tonnes CO₂,N/A,0.1 MWh,N/A,N/A
H&P,2023,17937.0 tonnes CO₂,N/A,N/A,N/A,N/A
Henry Schein,2016,11.3 tonnes CO₂,N/A,N/A,N/A,10000.0 tonnes CO₂
Henry Schein,2019,49830.0 tonnes CO₂,N/A,N/A,N/A,N/A
Henry Schein,2020,N/A,91000000.0 cubic meters,N/A,N/A,9768.0 tonnes CO₂
Altatec GmbH,2021,N/A,78000000.0 cubic meters,N/A,N/A,13870.0 tonnes CO₂
Henry Schein,2023,N/A,N/A,100.0 MWh,N/A,28.8 percent
Hermès International,2016,N/A,24590.0 cubic meters,66.0 MWh,N/A,N/A
Hermès International,2017,N/A,436997.0 cubic meters,8.6 MWh,N/A,N/A
Hermès International,2018,42.2 tonnes CO₂,719725.0 cubic meters,80.0 MWh,N/A,N/A
Hermès International,2021,N/A,35.4 cubic meters,46.7 MWh,N/A,44.0 percent
ENERGY CONTROL,N/A,46.5 tonnes CO₂,N/A,55.4 MWh,100.0 percent,41.0 percent
Glanbia,2023,0.9 tonnes CO₂,N/A,N/A,N/A,500.0 percent
Hermès International,2019,250.0 tonnes CO₂,N/A,N/A,N/A,88.0 percent
Amerada Hess,2002,13.2 tonnes CO₂,N/A,N/A,N/A,N/A
N/A,2005,6100000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Hess Corporation,2006,5360000.0 tonnes CO₂,N/A,N/A,N/A,N/A
Hess,2007,6400000.0 tonnes CO₂,N/A,10.0 MWh,N/A,N/A
Hess Corporation,2008,11300000.0 tonnes CO₂,54000000.0 cubic meters,10.0 MWh,N/A,N/A
Hess Corporation,2009,9100000.0 tonnes CO₂,67000000.0 cubic meters,11.0 MWh,N/A,N/A
Hess Corporation,2010,9000000.0 tonnes CO₂,10350000.0 cubic meters,140000.0 MWh,N/A,49.0 percent
Hess,2011,5100000.0 tonnes CO₂,1350000.0 cubic meters,23.0 MWh,N/A,N/A
Hess,2012,8000000.0 tonnes CO₂,12000000.0 cubic meters,180000.0 MWh,N/A,N/A
Hess,2013,6500000.0 tonnes CO₂,10550000.0 cubic meters,140000.0 MWh,N/A,N/A
Hess,2014,6000000.0 tonnes CO₂,9290000.0 cubic meters,125000.0 MWh,N/A,N/A
Hess,2015,5100000.0 tonnes CO₂,8900000.0 cubic meters,135000.0 MWh,N/A,N/A
Hess,N/A,4600000.0 tonnes CO₂,7600000.0 cubic meters,N/A,N/A,N/A
Hess,2017,4100000.0 tonnes CO₂,7600000.0 cubic meters,90000.0 MWh,N/A,7.7 percent
Hess,2018,3600000.0 tonnes CO₂,3800000.0 cubic meters,70000.0 MWh,N/A,N/A
Hess,2019,4300000.0 tonnes CO₂,5000000.0 cubic meters,531000.0 MWh,N/A,3.6 percent
Hess,2020,3300000.0 tonnes CO₂,3600000.0 cubic meters,634000.0 MWh,N/A,3.9 percent
Hess,2021,2900000.0 tonnes CO₂,3000000.0 cubic meters,870000.0 MWh,N/A,9.1 percent
Nissan Motor Corporation,2017,3577689.0 tonnes CO₂,29118000.0 cubic meters,169073.0 MWh,N/A,94.5 percent
HP,2014,1667700.0 tonnes CO₂,7431000.0 cubic meters,528000000.0 MWh,N/A,12.0 percent
HP,2022,26899500.0 tonnes CO₂,2227000.0 cubic meters,270585.0 MWh,15.0 percent,87.7 percent
HP,2021,28459500.0 tonnes CO₂,2245000.0 cubic meters,264054.0 MWh,39.0 percent,86.4 percent
HP,2023,19764400.0 tonnes CO₂,N/A,293289.0 MWh,40.0 percent,N/A
Hikma Pharmaceuticals PLC,2019,120462.0 tonnes CO,N/A,N/A,N/A,N/A
Hikma,2021,116596.0 tonnes CO,1065479.0 cubic meters,35000.0 MWh,N/A,N/A
Hikma,2022,123148.0 tonnes CO,N/A,35000.0 MWh,N/A,N/A
Hikma,2023,123727.0 tonnes CO,N/A,N/A,N/A,N/A
Hilton Worldwide,N/A,N/A,N/A,315000000.0 MWh,N/A,N/A
Hilton Worldwide Holdings Inc_2013,N/A,150.0 tonnes CO₂,3028.33 cubic meters,80000.0 MWh,N/A,70.0 percent
Hilton Worldwide,N/A,417000000.0 tonnes CO₂,N/A,417000000.0 MWh,N/A,N/A
Hilton,N/A,2656968.0 tonnes CO₂,6702.49 cubic meters,N/A,N/A,N/A
Hilton,2016,N/A,40.0 cubic meters,N/A,N/A,N/A
Hilton,2017,505640.0 tonnes CO₂,136900000.0 cubic meters,N/A,N/A,28.0 percent
Hilton,2018,N/A,142473.0 cubic meters,N/A,N/A,33.0 percent
Hilton,2019,476036.0 tonnes CO₂,149412.0 cubic meters,N/A,N/A,N/A
Hilton,2020,1749275.0 tonnes CO₂,105841.0 cubic meters,115.0 MWh,N/A,N/A
Hilton,2021,415034.0 tonnes CO₂,138887.0 cubic meters,N/A,N/A,16.0 percent
Hilton,2022,450000.0 tonnes CO₂,155848.88 cubic meters,N/A,N/A,17.5 percent
Incitec Pivot Limited (IPL),2016,2700000.0 tonnes CO₂,43823.0 cubic meters,20.0 MWh,N/A,N/A
HollyFrontier,2021,5296000.0 tonnes CO₂,66.98 cubic meters,N/A,N/A,N/A
HF Sinclair,2023,9242.0 kilotonnes,68.1 cubic meters,N/A,N/A,N/A
Hologic,2023,19244.0 tonnes CO₂,N/A,N/A,N/A,N/A
Hologic,2022,19939.0 tonnes CO₂,1500.0 cubic meters,456000.0 MWh,N/A,N/A
Hologic,2022,19939.0 tonnes CO₂,1500.0 cubic meters,456000.0 MWh,N/A,100.0 percent
The Home Depot,2017,N/A,1892.7 cubic meters,N/A,N/A,N/A
The Home Depot,2021,N/A,227124600.0 cubic meters,N/A,N/A,N/A
The Home Depot,2023,N/A,109776890.0 cubic meters,N/A,N/A,N/A
The Home Depot,2016,4000000.0 tonnes CO₂,264978700.0 cubic meters,N/A,N/A,N/A
Chevron,2019,N/A,N/A,N/A,N/A,N/A
Hormel Foods,N/A,5700.0 tonnes CO₂,17602156.5 cubic meters,N/A,N/A,N/A
Hormel Foods,2022,1100000.0 tonnes CO₂,17488594.2 cubic meters,1.0 MWh,N/A,N/A
Hormel Foods,2023,1060000.0 tonnes CO₂,0.28 cubic meters,N/A,N/A,563.0 tonnes CO₂
Host Hotels & Resorts,2019,389904.0 tonnes CO₂,2674889.0 cubic meters,N/A,N/A,N/A
