Company Name,Report Year,Annual Carbon Emissions (tonnes CO₂),Annual Water Consumption (cubic meters),Renewable Energy Usage (MWh),Sustainable Materials Usage Ratio (percent),Waste Recycling Rate (percent)
Hasbro Inc.,2022,9801.0,,,,0.0
Block H&R,2022,1117000.0,,0.1,,
Block H&R,2023,17937.0,,,,
Henry Schein,2016,11.3,,,,
Henry Schein,2019,49830.0,,,,
Henry Schein,2020,,91000000.0,,,
Henry Schein,2023,,,100.0,,28.8
Hermès,2016,,24590.0,66.0,,
Hermès,2017,,436997.0,8.6,,
Hermès,2018,42.2,719725.0,80.0,,
Hermès,2021,,35.4,46.7,,44.0
Hermès,2019,250.0,,,,88.0
Hess Corporation,2006,5360000.0,,,,
Hess Corporation,2007,6400000.0,,10.0,,
Hess Corporation,2008,11300000.0,54000000.0,10.0,,
Hess Corporation,2009,9100000.0,67000000.0,11.0,,
Hess Corporation,2010,9000000.0,10350000.0,140000.0,,49.0
Hess Corporation,2011,5100000.0,1350000.0,23.0,,
Hess Corporation,2012,8000000.0,12000000.0,180000.0,,
Hess Corporation,2013,6500000.0,10550000.0,140000.0,,
Hess Corporation,2014,6000000.0,9290000.0,125000.0,,
Hess Corporation,2015,5100000.0,8900000.0,135000.0,,
Hess Corporation,2017,4100000.0,7600000.0,90000.0,,7.7
Hess Corporation,2018,3600000.0,3800000.0,70000.0,,
Hess Corporation,2019,4300000.0,5000000.0,531000.0,,3.6
Hess Corporation,2020,3300000.0,3600000.0,634000.0,,3.9
Hess Corporation,2021,2900000.0,3000000.0,870000.0,,9.1
HP Inc.,2014,1667700.0,7431000.0,528000000.0,,12.0
HP Inc.,2022,26899500.0,2227000.0,270585.0,15.0,87.7
HP Inc.,2021,28459500.0,2245000.0,264054.0,39.0,86.4
HP Inc.,2023,19764400.0,,293289.0,40.0,
Hikma Pharmaceuticals,2019,,,,,
Hikma Pharmaceuticals,2021,,1065479.0,35000.0,,
Hikma Pharmaceuticals,2022,,,35000.0,,
Hikma Pharmaceuticals,2023,,,,,
Hilton Worldwide Holdings Inc,2016,,40.0,,,
Hilton Worldwide Holdings Inc,2017,505640.0,136900000.0,,,28.0
Hilton Worldwide Holdings Inc,2018,,142473.0,,,33.0
Hilton Worldwide Holdings Inc,2020,1749275.0,105841.0,115.0,,
Hilton Worldwide Holdings Inc,2021,415034.0,138887.0,,,16.0
Hilton Worldwide Holdings Inc,2022,450000.0,155848.88,,,17.5
Chubb Limited,2016,2700000.0,43823.0,20.0,,
HollyFrontier Corp,2021,5296000.0,66.98,,,
Hologic,2023,19244.0,,,,
Hologic,2022,19939.0,1500.0,456000.0,,
Home Depot,2017,,1892.7,,,
Home Depot,2021,,227124600.0,,,
Home Depot,2023,,109776890.0,,,
Home Depot,2016,4000000.0,264978700.0,,,
Hormel Foods Corp.,2022,1100000.0,17488594.2,1.0,,
Hormel Foods Corp.,2023,1060000.0,0.28,,,
Host Hotels & Resorts,2019,389904.0,2674889.0,,,
Host Hotels & Resorts,2022,73024.0,2013986.0,,,
Host Hotels & Resorts,2023,82747.0,2459840.0,12.0,,
Host Hotels & Resorts,2024,295718.0,2699944.65,18.2,,
Humana Inc.,2018,58672.0,,,,60.0
Humana Inc.,2019,,,,,63.0
The Bank of New York Mellon Corp.,2019,,,,,
IDEXX Laboratories,2020,22153.0,,250.0,,
IDEXX Laboratories,2021,34027.0,,0.4,,
IDEXX Laboratories,2023,35015.0,,70.0,,
Willis Towers Watson,2022,,,,,
NOVARTIS AG-REG,2016,1352.7,82500000.0,,,78.3
IMI,2022,,25480.2,,,47.0
INTESA SANPAOLO,2015,53.0,26.0,,95.0,
INTESA SANPAOLO,2019,4000.0,17.9,,,60.7
INTESA SANPAOLO,2020,255000.0,19.0,88.0,,
INTESA SANPAOLO,2021,,18.0,88.0,,
INTESA SANPAOLO,2023,,,,,98.0
IPG Photonics Corp.,2021,69016.0,180306.0,,,
BB&T Corporation,2022,61565.0,200723.0,0.0,,0.0
IQVIA Holdings Inc.,2021,71535.0,,,,
IQVIA Holdings Inc.,2022,7587.0,,80174.0,,
IVECO GROUP NV,2023,98512.0,13.0,98.0,,97.5
Ameriprise Financial,2021,46574.0,,,,
Illumina Inc,2020,42054.0,,1272.0,,
Illumina Inc,2021,,,,,
Illumina Inc,2022,,8.0,59.0,,49.0
Imperial Brands,2021,239977.0,,,,
Imperial Brands,2022,,,90.0,,
Amgen Inc.,2013,,4260.0,,,51.3
Siemens Energy AG,2018,1500000.0,,80.0,,
Block H&R,2014,341675.0,105000.0,27.0,,98.0
General Motors,2025,,,,,
Intel Corp.,2007,4000000.0,0.02,,,87.0
Intel Corp.,2009,1.98,7570820.0,1430000000.0,,
Intel Corp.,2010,,7570820.0,3800000.0,,75.0
Intel Corp.,2011,,31040362.0,2800000000.0,,81.0
Intel Corp.,2012,1313.0,0.15,,50.0,87.0
Intercontinental Exchange,2016,,60.0,2069.0,,
Intercontinental Exchange,2023,,,,,
International Airlines Group,2021,116808.0,,,,
International Paper,2017,13600000.0,,75.0,23.0,
International Paper,2023,6365636.0,6.6,70.0,,32.0
International Paper,2022,6261399.0,,,,
Interpublic Group,2016,15402.3,,,,
Interpublic Group,2017,2257.7,,,,
Interpublic Group,2018,28235.5,,,,
Intertek,2019,201332.0,,,,
Intertek,2021,,,990.0,,58.0
Intertek,2024,1000.0,6700000.0,200.0,,
Tiffany & Co.,2014,242924.0,5584151.0,,,
Tiffany & Co.,2019,,3332340.0,,,72.5
Tiffany & Co.,2020,19.7,4678506.0,166513.0,,21.0
Intuit Inc.,2018,,,,,
Intuit Inc.,2019,38126.0,,76.0,,76.0
Intuit Inc.,2020,37524.0,,100.0,,77.0
Intuit Inc.,2021,23481.0,,100.0,,83.0
Intuitive Surgical Inc.,2019,,,,,
Invesco Ltd.,2018,,32662.0,,,57.4
Invesco Ltd.,2022,,60364.0,,,100.0
Iron Mountain Incorporated,2013,307897.0,,70.0,,
Iron Mountain Incorporated,2015,324000.0,,2400000.0,,100.0
Iron Mountain Incorporated,2016,2.0,,2.5,65.0,100.0
Iron Mountain Incorporated,2017,,36147000000.0,,,100.0
Iron Mountain Incorporated,2018,,,,,
Iron Mountain Incorporated,2019,259160.0,924515.0,683919.0,,14.5
Iron Mountain Incorporated,2020,211070.0,1015739.0,758595.0,,29.1
Iron Mountain Incorporated,2021,217197.0,,830702.0,,
Iron Mountain Incorporated,2022,347072.0,,1001511.0,,
Arthur J. Gallagher & Co.,2020,1890776.0,,8.21,,
Arthur J. Gallagher & Co.,2022,1942283.0,,6.66,,
Arthur J. Gallagher & Co.,2023,1739774.0,,24.0,,
Amazon.com Inc.,2020,,,,,
The Bank of New York Mellon Corp.,2022,,2946.0,,,
The Bank of New York Mellon Corp.,2023,208640.0,2840.0,93.58,80.0,96.22
JPMorgan Chase & Co.,2017,675073.0,5611797.0,370801.0,,
JPMorgan Chase & Co.,2020,109926.0,5035089.0,1679213.0,100.0,
JPMorgan Chase & Co.,2021,,,20.0,,97.0
JPMorgan Chase & Co.,2022,,,,,
JPMorgan Chase & Co.,2023,872169.0,,,,
Jack Henry & Associates Inc,2024,3.0,,18.0,,
Jack Henry & Associates Inc,2015,,,,,
Bank of America Corp,2016,300000.0,36.46,,11.0,93.0
Jefferies Financial Group,2022,,,19206.0,,
Johnson & Johnson,2008,,11356230.0,,93.0,16.0
Johnson & Johnson,2019,,,,,83.0
Johnson & Johnson,2021,30600000.0,0.0,,,83.0
Johnson & Johnson,2024,606107.0,3196.0,42.1,,89.0
Juniper Networks,2024,,,31.0,,
LKQ Corporation,2021,48321.0,251339.87,103377.0,,
KLA-Tencor Corp.,2022,7964.0,320274.48,109626.0,,
Kansas City Southern,2016,13.59,2306912.86,,,
Kansas City Southern,2017,1472814.0,2300579.34,,,
Kansas City Southern,2018,1.43,,,,37.0
Kansas City Southern,2019,1400000.0,,,,
Keysight Technologies,2017,,,,,
Keysight Technologies,2018,,,,,
Keysight Technologies,2021,96659.0,,5.0,,
Keysight Technologies,2022,1225.0,275730.83,7900.0,,26.0
Kimberly-Clark,2021,8000.0,,1655000.0,,
Kimberly-Clark,2022,65000.0,,195.0,,
Kimberly-Clark,2023,13000000.0,,1280198.0,,
Kimco Realty,2023,,,,,
Kimco Realty,2024,,,,,
Kinder Morgan,2018,84234.0,,,,
Kinder Morgan,2019,81000.0,,1018.0,,
Kinder Morgan,2020,14100000.0,1487000.0,1053.0,,
Kinder Morgan,2021,19400000.0,1361000.0,1058.0,,
Kinder Morgan,2022,18100000.0,1459000.0,956.0,,98.0
Kraft Heinz Co,2017,0.19,5.8,,,9.5
Kraft Heinz Co,2024,455972.0,30455.0,,,
Kroger Co.,2020,,,3674.0,,80.0
Kroger Co.,2022,,,186533.0,40.0,79.0
Kroger Co.,2023,2335900.0,,376813.0,,82.0
Kroger Co.,2024,5081613.0,,97513.0,,
PVH Corp.,2020,80888.0,,95453746.0,,
PVH Corp.,2022,1621297.0,,60.0,46.5,
L'Oréal,2016,310441.0,48.0,,,99.8
L'Oréal,2017,357770.0,,100.0,,99.9
L'Oréal,2018,413568.0,48.0,,43.0,0.1
L'Oréal,2013,12.0,,90.0,34.0,90.9
L'Oréal,2019,434293.0,,,,0.0
L'Oréal,2021,0.0,,,77.0,
L'Oréal,2023,50.0,,100.0,,
LKQ Corporation,2022,47000.0,,223000.0,,
LVMH,2021,375740.0,,,,
LVMH,2022,329420.0,,47.0,,
Lam Research,2018,92563.0,723013.0,,,57.0
Lam Research,2019,111479.0,1.04,35.0,,55.0
Lam Research,2020,113482.0,1.11,32.0,,70.0
Lam Research,2023,190124.0,1525779.89,5535000.0,,53.0
Lamb Weston Holdings Inc,2020,,5131.0,1.37,,
Lamb Weston Holdings Inc,2021,,670960.0,1.21,,
Lamb Weston Holdings Inc,2022,,2074000.0,1.0,100.0,90.0
Land Securities,2015,70665.0,649339.0,194.0,,61.0
Leggett & Platt,2023,486.0,,450.0,,
Leggett & Platt,2024,485800.0,,,,
Legrand,2022,4.0,,,,
Legrand,2023,118.0,,,,
NOVARTIS AG-REG,2014,,95100000.0,,,
Lilly (Eli) & Co.,2023,,,185770.0,,
Lilly (Eli) & Co.,2021,131000.0,,9.6,,
Lilly (Eli) & Co.,2022,,,95700.0,,
CBRE Group,2016,12312.0,,,,
Broadridge Financial Solutions,2017,40234.0,210685.19,,,
CBRE Group,2020,,3153.25,,,
Linde plc,2017,28400000.0,56400000.0,,,33.0
Linde plc,2018,24900000.0,68400000.0,827000.0,,
Linde plc,2019,37500000.0,162200000.0,11364000.0,,90.0
Linde plc,2020,37200000.0,93100000.0,2500000.0,,90.0
Linde plc,2021,39900000.0,99500000.0,17000000.0,,90.0
Linde plc,2022,38800000.0,103900000.0,12552000.0,,90.0
Lloyds Banking Group,2022,0.1,,100.0,,72.0
Lloyds Banking Group,2023,,,50000.0,,72.0
Lloyds Banking Group,2020,159487.0,,,,
Lockheed Martin Corp.,2011,1600000.0,7.57,23.0,,95.0
Lockheed Martin Corp.,2012,17325348.0,6.12,,,
Lockheed Martin Corp.,2013,197000.0,,100.0,,95.0
Lockheed Martin Corp.,2014,1499.0,33694.18,25.0,,47.0
Lockheed Martin Corp.,2015,901917.0,4.33,,,
Lockheed Martin Corp.,2016,804245.0,4.39,300000.0,,
Lockheed Martin Corp.,2017,844373.0,5.01,303746.0,,
Lockheed Martin Corp.,2018,819548.0,5.01,307378.0,,
Lockheed Martin Corp.,2019,771435.0,5.15,321941.0,,
Lockheed Martin Corp.,2020,,,322000.0,,51.0
London Stock Exchange Group,2017,,97624.0,64.0,,22.3
London Stock Exchange Group,2019,,103970.0,100.0,,
London Stock Exchange Group,2021,,,,,
London Stock Exchange Group,2024,,,,,
LyondellBasell,2019,22900000.0,,,,1.0
LyondellBasell,2020,24100000.0,,,,
LyondellBasell,2021,23900000.0,,,,
LyondellBasell,2022,14700000.0,,,,
MERCEDES-BENZ GROUP AG,2013,3356000.0,14000000.0,,,97.0
DAIMLER TRUCK HOLDING AG,2015,,10000000.0,,,91.0
DAIMLER TRUCK HOLDING AG,2016,,36000000.0,9.0,,
DAIMLER TRUCK HOLDING AG,2017,,,,,
DAIMLER TRUCK HOLDING AG,2018,132.0,,,,
DAIMLER TRUCK HOLDING AG,2019,1239000.0,13486000.0,100.0,,
DAIMLER TRUCK HOLDING AG,2020,49.7,11778000.0,60.0,,
MERCEDES-BENZ GROUP AG,2021,49.1,,100.0,,
MERCEDES-BENZ GROUP AG,2022,537821.0,,100.0,,96.0
MGM Resorts International,2021,,,24.0,,
Macerich,2015,,945000000.0,,,
Macerich,2022,600000.0,673444.0,1500000.0,,
Accenture plc,2023,26160.0,,97.0,,
Macy's Inc.,2018,45504.0,,60000000.0,,
Macy's Inc.,2022,,,,,
Marathon Oil Corp.,2012,4920000.0,,,,
Marathon Oil Corp.,2013,4780000.0,,,,
Marathon Oil Corp.,2014,4490000.0,60510000.0,,,
Marathon Oil Corp.,2015,4640000.0,40000000.0,,,3.0
Marathon Oil Corp.,2019,6650000.0,50300000.0,,,
Marathon Oil Corp.,2021,3480000.0,44100000.0,,,9.3
Marks & Spencer,2024,,,,,
Marsh & McLennan,2023,,,48000.0,,
Martin Marietta Materials,2016,,,,,
Martin Marietta Materials,2022,5200000.0,,40247.0,,
Masco Corp.,2023,104000.0,33000000.0,,,95.0
Mattel Inc.,2021,177367.0,,,97.9,
Maxim Integrated Products Inc,2019,48143.0,,48.0,,
3M Company,2024,632926.0,,,,94.0
Kroger Co.,2016,,,,,
Kohl's Corp.,2015,140006.0,,534986.0,,
McDonald's Corp.,2016,,,,,
McDonald's Corp.,2020,700000.0,,,78.0,
McDonald's Corp.,2018,11700.0,,50000.0,,30.0
McKesson Corp.,2017,314692.0,366786.79,,,
McKesson Corp.,2018,124911.0,,2250.0,,
McKesson Corp.,2019,3300.0,,,,
McKesson Corp.,2020,8096.0,856324181.0,1032000.0,,
Medtronic plc,2016,,,,,
Medtronic plc,2022,,,16.0,,6.0
Medtronic plc,2019,299000.0,2200000.0,,,
MetLife Inc.,2015,0.0,,,,
MetLife Inc.,2016,34997.0,,,,
MetLife Inc.,2017,,,,,
MetLife Inc.,2018,30000.0,283.91,,,
Mettler Toledo,2017,71667.0,224878.0,10663.0,,61.0
Mettler Toledo,2021,,219576.0,100.0,,66.0
Mettler Toledo,2022,28089.0,196629.0,100.0,,61.0
Mettler Toledo,2023,981121.0,203003.0,100.0,,60.0
Microchip Technology,2018,,1.64,,,100.0
Microchip Technology,2020,2409.0,,,,100.0
Microchip Technology,2022,,2339.0,,,
Microchip Technology,2023,693929.0,1668208698.0,,,75.0
Micron Technology,2016,,,,,60.0
Micron Technology,2019,0.0,48311910.0,,,50.0
Micron Technology,2020,0.0,,,,
Micron Technology,2022,7420983.0,,2900.0,,
Micron Technology,2023,7610655.0,14590000.0,1.8,,93.0
Micron Technology,2021,7140000.0,54000000.0,,,
Microsoft Corp.,2006,,,480.0,,
Microsoft Corp.,2010,1299356.0,,25.0,,63.0
Microsoft Corp.,2011,,,,,80.0
Microsoft Corp.,2012,1530352.0,2.72,,,
Microsoft Corp.,2013,30000.0,1.0,,,
Microsoft Corp.,2014,600000.0,2860265.0,3000000000.0,,99.0
Microsoft Corp.,2015,85188.0,,3240620.0,,
Microsoft Corp.,2016,,,44.0,,90.0
Microsoft Corp.,2017,,,,,90.0
Microsoft Corp.,2018,,,1.0,,90.0
Microsoft Corp.,2019,,,,,
Microsoft Corp.,2021,14073000.0,4477865.0,12969393.0,,
Microsoft Corp.,2022,13000000.0,,13.5,,
AbbVie Inc.,2023,272962.07,,525147.0,,
Mohawk Industries,2019,,,,,90.0
Mohawk Industries,2021,,14.82,10.0,90.0,
Mohawk Industries,2022,0.24,,,,
Mohawk Industries,2023,3020.0,0.47,61.0,99.0,
Molson Coors Brewing Company,2016,,233000.0,,,
Molson Coors Brewing Company,2022,,,,,99.8
Mondelez International,2013,,22.0,,,90.0
Mondelez International,2014,,,,61.0,48.0
Mondelez International,2015,,,,75.0,68.0
Mondelez International,2016,25.0,350000000.0,,,
Mondelez International,2017,,,,,
Mondelez International,2018,,2400.0,,,
Mondelez International,2020,24611466.0,10326848.0,23.0,100.0,
Mondelez International,2021,1427714.0,10276279.0,32.0,,2.7
Mondelez International,2022,1060000.0,,39.0,,
Mondelez International,2019,1336793.0,,8.0,63.0,21.0
Mondi,2018,,303000000.0,,,
Mondi,2019,3724295.0,247100000.0,,,
Mondi,2021,3600000.0,,65.0,,73.0
Mondi,2022,2200000.0,219000000.0,60.0,,
PepsiCo Inc.,2014,,,,25.0,93.0
Moody's Corp,2019,1569.0,,,,
Moody's Corp,2020,117609.0,,,,
Moody's Corp,2021,122563.0,,100.0,,
Moody's Corp,2022,810.0,,100.0,,
Moody's Corp,2023,0.0,,100.0,,
Morgan Stanley,2009,,,,,
Morgan Stanley,2010,,0.01,,,50.0
Morgan Stanley,2011,,,,,
Morgan Stanley,2012,400.0,,1000000.0,,
Morgan Stanley,2013,,10000.0,3.0,,55.0
Morgan Stanley,2014,,,830000.0,,62.0
Morgan Stanley,2016,,,,,
Morgan Stanley,2017,,,9000000.0,,
Morgan Stanley,2021,30.0,,,,
Motorola Solutions Inc.,2014,188145.0,701000.0,33.0,,69.0
Motorola Solutions Inc.,2015,166202.0,650000.0,30.0,,72.0
Motorola Solutions Inc.,2016,123500.0,440000.0,7.0,,54.0
Motorola Solutions Inc.,2017,121535.0,329000.0,7.0,,54.0
Motorola Solutions Inc.,2018,89937.0,542000.0,8.0,,57.0
Motorola Solutions Inc.,2019,80982.0,312000.0,15.0,,56.0
Motorola Solutions Inc.,2020,74393.0,125000.0,2200000.0,,42.0
Motorola Solutions Inc.,2021,66911.0,335000.0,,,42.0
Mylan N.V.,2017,800000.0,3300000.0,56000000.0,,100.0
Mylan N.V.,2018,734000.0,,72000.0,,
The Bank of New York Mellon Corp.,2014,2.04,35.5,6.06,93.0,100.0
NESTLE SA-REG,2022,112.9,,78.4,,
NESTLE SA-REG,2023,87540000.0,,91.9,,
NOVARTIS AG-REG,2015,1350.7,91.9,,,75.0
NOVARTIS AG-REG,2017,1259.91,75.87,,,78.5
NOVARTIS AG-REG,2018,1123.24,72.44,,,77.0
NOVARTIS AG-REG,2019,,67200000.0,,,
NOVARTIS AG-REG,2020,788.6,8.5,417000.0,,86.6
NOVARTIS AG-REG,2021,,7800000.0,,,83.9
NOVARTIS AG-REG,2023,,,,,
NRG Energy,2019,39000000000000.0,183816000.0,,,
NRG Energy,2021,36557416.0,,,,
NRG Energy,2022,37417583.0,,,,
NRG Energy,2023,24000000.0,93000.0,,,68.0
National Grid plc,2021,,,6200.0,,
National Oilwell Varco Inc.,2019,,,,,
NOVARTIS AG-REG,2022,398000.0,1.62,,,
Newmont Mining Corporation,2018,4690000.0,104816000.0,,,72.0
Newmont Mining Corporation,2017,4690000.0,115747000.0,,,72.0
News Corp. Class A,2022,8500.0,1135.62,,,95.0
News Corp. Class A,2023,,,57800.0,77.0,95.0
NextEra Energy,2019,160368.0,,100.0,,95.0
NextEra Energy,2021,148044.0,,100.0,39.0,97.0
NextEra Energy,2020,,,,,
NiSource Inc.,2023,6350413.0,14001640.0,19913014.0,,5.1
Nielsen Holdings,2018,1.0,130685.17,1672543.0,,56.0
Nielsen Holdings,2020,615382.0,,,,
Nike,2021,119141.0,,78.0,32.0,69.0
Nike,2020,47398.0,14121700000.0,229833.0,50.0,88.0
Noble Energy Inc,2011,2120000.0,,,,
Noble Energy Inc,2012,2140000.0,24800000.0,,,
Noble Energy Inc,2013,,31900000.0,,,
Noble Energy Inc,2014,,61500000.0,,,92.0
Noble Energy Inc,2015,,,,,
Cimarex Energy,2017,18.0,97.0,,,
Noble Energy Inc,2018,,,,,
Nordstrom,2018,,0.05,,10.0,
Nordstrom,2019,,,,50.0,
FedEx Corporation,2015,,,100.0,,
Norfolk Southern Corp.,2022,4165808.0,,26.0,,
Southern Co.,2024,7101230.0,,4.2,,
Norfolk Southern Corp.,2023,,,30000.0,70.0,60.0
Northern Trust Corp.,2019,,,100.0,,
Northrop Grumman Corp.,2017,500215.0,0.24,,,62.9
Northrop Grumman Corp.,2021,725835.0,,,,
Norwegian Cruise Line,2023,3162836.0,,0.01,,80.0
Nvidia Corporation,2016,,63770.0,36.0,100.0,95.0
Nvidia Corporation,2017,,75470.0,29.0,,76.0
Nvidia Corporation,2019,,95969.0,,,90.0
Nvidia Corporation,2020,,72378.0,34.0,,78.0
Nvidia Corporation,2021,,359901.0,,,68.0
Nvidia Corporation,2022,,,,,
Nvidia Corporation,2023,73017.0,471777.0,44.0,,
Cabot Oil & Gas,2015,,,,,
ONEOK,2016,50000000.0,,,,
Occidental Petroleum,2019,15500000.0,,16.0,,
Occidental Petroleum,2023,22500000.0,47000000.0,43324.0,,
Omnicom Group,2017,260233.0,,15689.0,,
American Water Works Company Inc,2018,21.0,,14900.0,,
Omnicom Group,2019,200376.0,,21200.0,,
Omnicom Group,2020,73732.0,,20165.0,,99.68
Omnicom Group,2021,,,21.5,,
Omnicom Group,2022,361394.0,,24876.0,,
Oracle Corp.,2012,,,5.0,,76.0
Oracle Corp.,2014,10.0,9.5,100.0,,65.0
Orange,2020,,,31.0,,
Orange,2021,142000.0,,117000.0,,
PACCAR Inc.,2019,15.0,,,,88.0
PACCAR Inc.,2024,271000.0,,,,
PPG Industries,2009,,595.44,,,
PPG Industries,2010,400.0,15.0,,98.0,
PPG Industries,2011,,,,,
PPG Industries,2012,5800000.0,430000000.0,,,75.0
PPG Industries,2013,7200.0,4.39,,,
PPG Industries,2016,,,,31.0,
PPG Industries,2017,1170000.0,18600000.0,,32.0,
PPG Industries,2018,930000.0,,,32.0,
PPG Industries,2021,840000.0,16900000.0,4600000.0,,
PPG Industries,2022,,17730000.0,,,
American Electric Power,2018,,512000.0,,,68.0
Apple Inc.,2020,,80300.0,,58.4,84.32
PVH Corp.,2015,134459.0,343683.0,,70.0,
PVH Corp.,2018,128878.0,181235.0,60735489.0,33.0,94.0
PVH Corp.,2021,,,,54.0,
PVH Corp.,2023,2294443.0,,64.0,,
Packaging Corporation of America,2018,3300000.0,280300000.0,,,
Packaging Corporation of America,2019,4260000.0,273900000000.0,70300000.0,,73.2
Packaging Corporation of America,2020,6000.0,270800000000.0,70800000.0,,
Packaging Corporation of America,2021,1950000.0,274900000000.0,70600000.0,,
PayPal,2017,,2349576.04,,,90.0
PayPal,2022,507.0,0.3,,,
Paychex Inc.,2019,17000.0,,,,
Pearson plc,2015,146493.0,1014268.0,162916.0,,
Pearson plc,2016,126385.0,,100.0,,
Pearson plc,2017,104384.0,,,,
Pearson plc,2019,80421.0,453589.0,90192.0,,
Pentair plc,2021,106441.0,661.0,,,
Pentair plc,2022,119740.1,752821.16,37.0,,
Pentair plc,2023,55880.0,29.0,,,
PepsiCo Inc.,2010,,,,10.0,
PepsiCo Inc.,2013,,200000.0,,,
PepsiCo Inc.,2015,7.0,,,4.0,94.0
PepsiCo Inc.,2017,,,,9.0,95.0
PepsiCo Inc.,2018,,,100.0,,
PepsiCo Inc.,2021,,,,,
PepsiCo Inc.,2022,,8700000000.0,,,87.0
PerkinElmer,2014,41101.0,169795.0,,,
PerkinElmer,2021,3423.0,11.0,,,
PerkinElmer,2013,44352.0,165925.0,5000.0,,
Pfizer Inc.,2007,,30000000.0,,30.0,49.0
Pfizer Inc.,2009,12.0,,,,
Pfizer Inc.,2020,80.0,,,,
Pfizer Inc.,2021,28.0,,310.0,,
Pfizer Inc.,2022,,,,,
Philip Morris International,2017,,4.8,36.0,,
Philip Morris International,2019,615595.0,4.0,72.0,,84.0
Philip Morris International,2021,308822.0,3120000.0,33.0,,86.0
Philip Morris International,2022,4597000.0,3090000.0,87.0,,86.0
Phillips 66,2017,35.0,,,,
Phoenix Group,2022,24000000.0,,,,
Phoenix Group,2023,83.0,,,,
Pioneer Natural Resources,2022,3250000.0,,,,
Polo Ralph Lauren Corp.,2019,63290.0,,10.0,79.0,100.0
Polo Ralph Lauren Corp.,2020,1664744.0,,2.0,,85.0
Polo Ralph Lauren Corp.,2021,1237017.0,9661765.0,6.0,,85.0
Principal Financial Group,2023,,,55.6,,
Northrop Grumman Corp.,2016,4903000.0,64192000.0,,,86.0
Procter & Gamble,2013,5738.0,74320.0,,,81.0
Procter & Gamble,2017,4600000.0,62028000.0,,65.0,86.0
Procter & Gamble,2020,,,,100.0,
Northrop Grumman Corp.,2022,2316.0,68600000.0,99.0,,
Northrop Grumman Corp.,2023,2253.0,,99.0,,
Northrop Grumman Corp.,2018,4300000.0,63419000.0,,,90.0
Progressive Corp.,2021,81320.0,,70000.0,,
Progressive Corp.,2023,,,61500.0,,
Prologis,2007,12394108.0,,6400.0,100.0,
Prologis,2008,16293.91,,120000.0,,
Prologis,2009,,,,,
Prologis,2010,10253.0,,30.0,,
Prologis,2011,,,,20.0,75.0
Prologis,2012,6299.0,,550000000.0,,
Prologis,2013,9837.0,,,,
Prologis,2014,7558.0,10186.54,,,
Prologis,2015,14853.0,9232.61,,,
Prologis,2016,14885.0,0.02,165.0,,
Prologis,2017,13105.0,,96.15,,
Prologis,2019,,,,,
Prologis,2020,1106.0,,,,
Prudential plc,2019,,229268.0,,,63.0
Prudential plc,2020,,170648.0,,,62.0
Prudential plc,2021,,123025.82,,,
Prudential plc,2023,,,,,
Wec Energy Group Inc,2021,,10000000.0,,,
Public Storage,2019,,,,,30.0
Public Storage,2021,11.0,14.0,,,58.0
Public Storage,2022,52.0,,,,53.0
Publicis,2015,381066.0,859398.0,25.0,,
Publicis,2019,253218.0,727200.0,37.1,80.0,
Publicis,2013,,777020.0,43300.0,,
QUALCOMM Inc.,2019,,0.3,,,
QUALCOMM Inc.,2020,,1518257.65,3.0,,25.0
QUALCOMM Inc.,2021,,,115000.0,,
Qorvo,2023,,,,,
Quanta Services Inc.,2021,653993.0,115.04,,,
Quest Diagnostics,2021,1583.2,3.28,,,
Quest Diagnostics,2023,845.0,,40000000.0,,
RELX,2014,,,46.0,,
RELX,2015,,,50.0,,
RELX,2016,,337889.0,,,76.0
RELX,2017,,344918.0,,,76.0
RELX,2019,,,,,61.0
RELX,2021,,,,,
RELX,2022,,156734.0,,,99.0
REPSOL SA,2020,22.0,376961135.0,3295.0,20.0,
REPSOL SA,2013,14220000.0,,,,
Target Corp.,2016,,52.0,,,
REPSOL SA,2017,848.0,53497.0,,,
REPSOL SA,2018,,,,,
Cardinal Health Inc.,2023,7080.0,,,,73.0
ROYAL BANK OF CANADA,2015,136426.0,0.72,479173.0,,99.0
Raytheon Co.,2021,510500.0,5.69,,,
Abbott Laboratories,2022,,,,,
Starbucks Corp.,2015,294087.0,5108000.0,,,96.0
Reckitt,2017,227766.0,,,,100.0
Reckitt,2020,32400000.0,,33.0,,96.0
Reckitt,2022,358746.0,,93.0,,
Reckitt,2018,34000000.0,4983800000000.0,,,
Regency Centers Corporation,2018,33873.0,1814188.03,,,
Regency Centers Corporation,2019,2080.0,,2416.0,,3.0
Regency Centers Corporation,2020,832381.0,1647.0,,,
Regency Centers Corporation,2021,24672.0,,,,35.0
Regency Centers Corporation,2022,,,,,29.0
Regeneron,2023,,,,,73.0
Renault,2023,,6.5,,,99.9
Rentokil Initial,2018,363399.0,9.7,,,26.0
Republic Services Inc,2018,6000000.0,,,,
First Republic Bank,2019,400.0,,,,7.0
Republic Services Inc,2020,13453373.0,,19000.0,,
Republic Services Inc,2021,,,,,
ResMed,2024,28658.0,,122.0,,
Rio Tinto,2013,32000.0,,,,
Rio Tinto,2019,,,,,
Aon plc,2023,,33.9,50.0,,
Robert Half International,2023,16708.0,,,,
Rockwell Automation Inc.,2021,197.0,,,,86.0
Ross Stores,2019,,,,,63.0
Ross Stores,2020,226714.0,,,,67.0
